datetime,temp,humidity,pressure
2020-08-09 08:29:20,26.59,56.08,1003.3
2020-08-09 08:29:21,26.5,56.72,1003.31
2020-08-09 08:29:22,26.5,56.12,1003.29
2020-08-09 08:29:23,26.52,55.95,1003.29
2020-08-09 08:29:24,26.56,56.18,1003.28
2020-08-09 08:29:25,26.56,54.59,1003.3
2020-08-09 08:29:26,26.56,55.95,1003.29
2020-08-09 08:29:27,26.45,56.06,1003.29
2020-08-09 08:29:28,26.56,55.79,1003.27
2020-08-09 08:29:29,26.43,56.08,1003.26
2020-08-09 08:29:30,26.48,56.59,1003.3
2020-08-09 08:29:31,26.5,55.76,1003.3
2020-08-09 08:29:32,26.58,55.76,1003.31
2020-08-09 08:29:33,26.54,56.04,1003.29
2020-08-09 08:29:34,26.48,55.99,1003.3
2020-08-09 08:29:35,26.59,55.9,1003.3
2020-08-09 08:29:36,26.43,55.8,1003.32
2020-08-09 08:29:37,26.47,55.73,1003.28
2020-08-09 08:29:38,26.45,55.85,1003.29
2020-08-09 08:29:39,26.5,56.02,1003.31
2020-08-09 08:29:40,26.47,55.96,1003.33
2020-08-09 08:29:41,26.45,55.74,1003.31
2020-08-09 08:29:42,26.56,56.19,1003.29
2020-08-09 08:29:43,26.48,55.93,1003.3
2020-08-09 08:29:44,26.45,55.71,1003.31
2020-08-09 08:29:45,26.54,56.15,1003.3
2020-08-09 08:29:46,26.5,55.95,1003.29
2020-08-09 08:29:47,26.5,55.92,1003.31
2020-08-09 08:29:48,26.48,56.14,1003.29
2020-08-09 08:29:49,26.7,55.76,1003.3
2020-08-09 08:29:50,26.48,56.0,1003.31
2020-08-09 08:29:51,26.54,56.13,1003.29
2020-08-09 08:29:52,26.63,56.17,1003.31
2020-08-09 08:29:53,26.5,56.08,1003.3
2020-08-09 08:29:54,26.56,55.78,1003.31
2020-08-09 08:29:55,26.56,55.96,1003.31
2020-08-09 08:29:56,26.47,55.75,1003.29
2020-08-09 08:29:57,26.54,56.03,1003.28
2020-08-09 08:29:58,26.5,55.83,1003.26
2020-08-09 08:29:59,26.5,56.1,1003.28
2020-08-09 08:30:00,26.48,55.89,1003.3
2020-08-09 08:30:01,26.39,55.83,1003.31
2020-08-09 08:30:02,26.47,55.21,1003.31
2020-08-09 08:30:03,26.5,56.13,1003.28
2020-08-09 08:30:04,26.54,54.28,1003.27
2020-08-09 08:30:05,26.52,56.05,1003.28
2020-08-09 08:30:06,26.5,57.99,1003.29
2020-08-09 08:30:07,26.47,55.67,1003.3
2020-08-09 08:30:08,26.47,56.07,1003.28
2020-08-09 08:30:09,26.45,56.07,1003.28
2020-08-09 08:30:10,26.47,55.93,1003.29
2020-08-09 08:30:11,26.5,55.98,1003.29
2020-08-09 08:30:12,26.5,55.77,1003.31
2020-08-09 08:30:13,26.54,56.14,1003.29
2020-08-09 08:30:14,26.58,56.07,1003.27
2020-08-09 08:30:15,26.37,55.88,1003.28
2020-08-09 08:30:16,26.52,56.2,1003.29
2020-08-09 08:30:17,26.43,55.87,1003.29
2020-08-09 08:30:18,26.52,59.03,1003.29
2020-08-09 08:30:19,26.5,55.87,1003.3
2020-08-09 08:30:20,26.41,55.91,1003.29
2020-08-09 08:30:21,26.45,56.03,1003.28
2020-08-09 08:30:22,26.48,55.92,1003.3
2020-08-09 08:30:23,26.45,56.03,1003.28
2020-08-09 08:30:25,26.43,55.78,1003.27
2020-08-09 08:30:26,26.5,55.84,1003.28
2020-08-09 08:30:27,26.41,55.8,1003.28
2020-08-09 08:30:28,26.48,55.85,1003.28
2020-08-09 08:30:29,26.54,55.66,1003.26
2020-08-09 08:30:30,26.47,55.77,1003.28
2020-08-09 08:30:31,26.54,56.08,1003.27
2020-08-09 08:30:32,26.45,56.02,1003.27
2020-08-09 08:30:33,26.54,56.02,1003.26
2020-08-09 08:30:34,26.48,55.94,1003.25
2020-08-09 08:30:35,26.45,55.98,1003.26
2020-08-09 08:30:36,26.52,55.83,1003.26
2020-08-09 08:30:37,26.47,55.83,1003.28
2020-08-09 08:30:38,26.45,56.0,1003.27
2020-08-09 08:30:39,26.45,56.03,1003.26
2020-08-09 08:30:40,26.54,55.92,1003.26
2020-08-09 08:30:41,26.45,56.05,1003.29
2020-08-09 08:30:42,26.41,56.05,1003.3
2020-08-09 08:30:43,26.48,55.91,1003.28
2020-08-09 08:30:44,26.37,55.84,1003.26
2020-08-09 08:30:45,26.63,55.98,1003.28
2020-08-09 08:30:46,26.47,56.0,1003.27
2020-08-09 08:30:47,26.47,55.77,1003.27
2020-08-09 08:30:48,26.67,55.95,1003.27
2020-08-09 08:30:49,26.58,56.23,1003.27
2020-08-09 08:30:50,26.45,55.74,1003.29
2020-08-09 08:30:51,26.48,55.89,1003.27
2020-08-09 08:30:52,26.56,56.27,1003.26
2020-08-09 08:30:53,26.5,56.07,1003.26
2020-08-09 08:30:54,26.47,55.74,1003.26
2020-08-09 08:30:55,26.47,55.81,1003.26
2020-08-09 08:30:56,26.45,55.85,1003.25
2020-08-09 08:30:57,26.48,56.36,1003.24
2020-08-09 08:30:58,26.48,55.92,1003.24
2020-08-09 08:30:59,26.39,54.55,1003.25
2020-08-09 08:31:00,26.47,55.89,1003.24
2020-08-09 08:31:01,26.45,55.85,1003.24
2020-08-09 08:31:02,26.45,56.05,1003.23
2020-08-09 08:31:03,26.54,56.06,1003.23
2020-08-09 08:31:04,26.43,55.99,1003.25
2020-08-09 08:31:05,26.47,55.8,1003.25
2020-08-09 08:31:06,26.45,55.93,1003.24
2020-08-09 08:31:07,26.48,55.87,1003.26
2020-08-09 08:31:08,26.39,56.04,1003.23
2020-08-09 08:31:09,26.43,56.06,1003.22
2020-08-09 08:31:10,26.43,56.03,1003.22
2020-08-09 08:31:11,26.52,55.9,1003.21
2020-08-09 08:31:12,26.59,56.01,1003.22
2020-08-09 08:31:13,26.43,55.95,1003.23
2020-08-09 08:31:14,26.43,55.71,1003.26
2020-08-09 08:31:15,26.5,55.93,1003.25
2020-08-09 08:31:16,26.45,55.97,1003.23
2020-08-09 08:31:17,26.45,55.98,1003.26
2020-08-09 08:31:18,26.43,56.1,1003.27
2020-08-09 08:31:19,26.48,56.03,1003.28
2020-08-09 08:31:20,26.43,55.79,1003.28
2020-08-09 08:31:21,26.45,55.99,1003.26
2020-08-09 08:31:22,26.52,55.86,1003.26
2020-08-09 08:31:23,26.5,55.85,1003.26
2020-08-09 08:31:24,26.5,55.66,1003.25
2020-08-09 08:31:25,26.47,55.97,1003.24
2020-08-09 08:31:26,26.47,56.01,1003.26
2020-08-09 08:31:27,26.45,56.16,1003.27
2020-08-09 08:31:28,26.41,55.74,1003.3
2020-08-09 08:31:29,26.41,55.88,1003.3
2020-08-09 08:31:30,26.41,55.98,1003.28
2020-08-09 08:31:31,26.32,55.81,1003.28
2020-08-09 08:31:32,26.43,55.95,1003.26
2020-08-09 08:31:33,26.52,55.73,1003.25
2020-08-09 08:31:34,26.54,55.92,1003.25
2020-08-09 08:31:35,26.48,56.07,1003.23
2020-08-09 08:31:36,26.52,55.95,1003.25
2020-08-09 08:31:37,26.45,55.87,1003.24
2020-08-09 08:31:38,26.45,55.98,1003.24
2020-08-09 08:31:39,26.34,55.93,1003.26
2020-08-09 08:31:40,26.39,55.87,1003.26
2020-08-09 08:31:41,26.47,55.73,1003.25
2020-08-09 08:31:42,26.43,55.96,1003.24
2020-08-09 08:31:43,26.39,56.08,1003.23
2020-08-09 08:31:44,26.41,55.97,1003.26
2020-08-09 08:31:45,26.43,55.83,1003.24
2020-08-09 08:31:46,26.43,56.06,1003.24
2020-08-09 08:31:47,26.43,56.0,1003.25
2020-08-09 08:31:48,26.36,56.01,1003.24
2020-08-09 08:31:49,26.43,56.16,1003.24
2020-08-09 08:31:50,26.37,55.73,1003.25
2020-08-09 08:31:51,26.39,55.9,1003.24
2020-08-09 08:31:52,26.43,55.95,1003.24
2020-08-09 08:31:53,26.39,56.06,1003.25
2020-08-09 08:31:54,26.36,55.89,1003.24
2020-08-09 08:31:55,26.37,56.0,1003.22
2020-08-09 08:31:56,26.43,55.96,1003.22
2020-08-09 08:31:57,26.32,55.96,1003.23
2020-08-09 08:31:58,26.34,55.77,1003.19
2020-08-09 08:31:59,26.37,56.1,1003.21
2020-08-09 08:32:00,26.39,55.94,1003.22
2020-08-09 08:32:01,26.41,55.81,1003.21
2020-08-09 08:32:02,26.52,56.27,1003.22
2020-08-09 08:32:03,26.39,56.11,1003.24
2020-08-09 08:32:04,26.39,56.07,1003.25
2020-08-09 08:32:06,26.34,55.87,1003.22
2020-08-09 08:32:07,26.32,55.84,1003.23
2020-08-09 08:32:08,26.21,55.94,1003.22
2020-08-09 08:32:09,26.45,56.06,1003.22
2020-08-09 08:32:10,26.34,55.96,1003.26
2020-08-09 08:32:11,26.41,56.25,1003.27
2020-08-09 08:32:12,26.43,56.31,1003.25
2020-08-09 08:32:13,26.41,55.95,1003.27
2020-08-09 08:32:14,26.45,55.98,1003.23
2020-08-09 08:32:15,26.3,56.16,1003.25
2020-08-09 08:32:16,26.41,55.85,1003.24
2020-08-09 08:32:17,26.39,56.16,1003.23
2020-08-09 08:32:18,26.32,55.85,1003.23
2020-08-09 08:32:19,26.39,56.07,1003.23
2020-08-09 08:32:20,26.41,56.09,1003.26
2020-08-09 08:32:21,26.45,55.99,1003.23
2020-08-09 08:32:22,26.36,56.03,1003.25
2020-08-09 08:32:23,26.32,56.18,1003.25
2020-08-09 08:32:24,26.32,55.72,1003.23
2020-08-09 08:32:25,26.28,56.15,1003.25
2020-08-09 08:32:26,26.45,56.03,1003.26
2020-08-09 08:32:27,26.37,55.93,1003.23
2020-08-09 08:32:28,26.43,55.98,1003.25
2020-08-09 08:32:29,26.36,55.87,1003.25
2020-08-09 08:32:30,26.39,55.84,1003.25
2020-08-09 08:32:31,26.47,56.07,1003.23
2020-08-09 08:32:32,26.39,55.68,1003.23
2020-08-09 08:32:33,26.32,56.02,1003.24
2020-08-09 08:32:34,26.43,56.08,1003.25
2020-08-09 08:32:35,26.32,55.99,1003.24
2020-08-09 08:32:36,26.39,56.15,1003.24
2020-08-09 08:32:37,26.41,56.05,1003.26
2020-08-09 08:32:38,26.34,56.1,1003.24
2020-08-09 08:32:39,26.34,56.01,1003.27
2020-08-09 08:32:40,26.43,56.13,1003.24
2020-08-09 08:32:41,26.48,56.17,1003.24
2020-08-09 08:32:42,26.41,56.06,1003.25
2020-08-09 08:32:43,26.39,56.19,1003.26
2020-08-09 08:32:44,26.37,55.81,1003.27
2020-08-09 08:32:45,26.3,56.13,1003.28
2020-08-09 08:32:46,26.39,55.77,1003.27
2020-08-09 08:32:47,26.45,56.3,1003.25
2020-08-09 08:32:48,26.47,55.85,1003.24
2020-08-09 08:32:49,26.45,56.26,1003.24
2020-08-09 08:32:50,26.3,55.89,1003.23
2020-08-09 08:32:51,26.45,56.29,1003.25
2020-08-09 08:32:52,26.36,55.98,1003.27
2020-08-09 08:32:53,26.5,56.14,1003.26
2020-08-09 08:32:54,26.47,56.09,1003.27
2020-08-09 08:32:55,26.34,56.09,1003.28
2020-08-09 08:32:56,26.52,55.72,1003.23
2020-08-09 08:32:57,26.5,55.98,1003.24
2020-08-09 08:32:58,26.41,55.89,1003.22
2020-08-09 08:32:59,26.5,55.91,1003.23
2020-08-09 08:33:00,26.43,55.99,1003.24
2020-08-09 08:33:01,26.34,56.11,1003.24
2020-08-09 08:33:02,26.41,56.01,1003.25
2020-08-09 08:33:03,26.39,56.02,1003.23
2020-08-09 08:33:04,26.39,56.06,1003.22
2020-08-09 08:33:05,26.39,56.15,1003.23
2020-08-09 08:33:06,26.41,56.09,1003.22
2020-08-09 08:33:07,26.43,56.18,1003.24
2020-08-09 08:33:08,26.37,55.99,1003.25
2020-08-09 08:33:09,26.41,55.83,1003.22
2020-08-09 08:33:10,26.47,55.84,1003.23
2020-08-09 08:33:11,26.39,56.39,1003.25
2020-08-09 08:33:12,26.58,56.17,1003.23
2020-08-09 08:33:13,26.39,55.98,1003.27
2020-08-09 08:33:14,26.39,55.9,1003.25
2020-08-09 08:33:15,26.45,56.23,1003.24
2020-08-09 08:33:16,26.39,55.88,1003.25
2020-08-09 08:33:17,26.39,56.24,1003.24
2020-08-09 08:33:18,26.41,56.14,1003.27
2020-08-09 08:33:19,26.41,55.81,1003.28
2020-08-09 08:33:20,26.37,55.83,1003.27
